date,time,value
18/10/17,0:00,881.236517640377
18/10/17,0:15,1037.54191094241
18/10/17,0:30,1292.052576516
18/10/17,0:45,1194.55871103091
18/10/17,1:00,1199.00514892992
18/10/17,1:15,1112.8994652766
18/10/17,1:30,1027.31832736084
18/10/17,1:45,909.825240583227
18/10/17,2:00,769.63183140494
18/10/17,2:15,620.786972075542
18/10/17,2:30,609.198858976882
18/10/17,2:45,530.897082067445
18/10/17,3:00,663.459218219724
18/10/17,3:15,711.749581318208
18/10/17,3:30,555.052275625543
18/10/17,3:45,462.504889403223
18/10/17,4:00,479.380299713531
18/10/17,4:15,249.084789213365
18/10/17,4:30,224.375598594929
18/10/17,4:45,352.042758217601
18/10/17,5:00,421.549839391396
18/10/17,5:15,374.189808886841
18/10/17,5:30,386.240110170015
18/10/17,5:45,530.874676749714
18/10/17,6:00,537.849687691942
18/10/17,6:15,419.969266476766
18/10/17,6:30,674.616257591916
18/10/17,6:45,721.812787661038
18/10/17,7:00,1071.89191685049
18/10/17,7:15,1048.96280887268
18/10/17,7:30,1232.15871326917
18/10/17,7:45,1191.37424956365
18/10/17,8:00,1393.02009323715
18/10/17,8:15,1458.20804557027
18/10/17,8:30,1595.50422873666
18/10/17,8:45,1749.45624100574
18/10/17,9:00,1817.10483959845
18/10/17,9:15,1774.11146625438
18/10/17,9:30,1832.53634571644
18/10/17,9:45,1754.60700146833
18/10/17,10:00,1725.85832604943
18/10/17,10:15,1672.60040997158
18/10/17,10:30,1746.57360057139
18/10/17,10:45,1663.59930570988
18/10/17,11:00,1651.53320767965
18/10/17,11:15,1644.67787114485
18/10/17,11:30,1457.98963091884
18/10/17,11:45,1326.2738959409
18/10/17,12:00,1310.27095952083
18/10/17,12:15,1199.97973427587
18/10/17,12:30,1255.9720934937
18/10/17,12:45,1238.02562486684
18/10/17,13:00,1193.09005854018
18/10/17,13:15,1342.83858640361
18/10/17,13:30,1492.20131924603
18/10/17,13:45,1563.17184819473
18/10/17,14:00,1579.98331693779
18/10/17,14:15,1719.96458654213
18/10/17,14:30,1675.07704670777
18/10/17,14:45,1697.57472047264
18/10/17,15:00,1731.63949116075
18/10/17,15:15,1562.35583199895
18/10/17,15:30,1565.06445910259
18/10/17,15:45,1460.74688088654
18/10/17,16:00,1552.40960065214
18/10/17,16:15,1473.84477118518
18/10/17,16:30,1461.69789043346
18/10/17,16:45,1335.25805388439
18/10/17,17:00,1510.14338049762
18/10/17,17:15,1435.70764274303
18/10/17,17:30,1365.94161234466
18/10/17,17:45,1352.37346646994
18/10/17,18:00,1440.84008604363
18/10/17,18:15,1504.90224590464
18/10/17,18:30,1506.11728946696
18/10/17,18:45,1505.08113844335
18/10/17,19:00,1731.98902599582
18/10/17,19:15,1939.61513967461
18/10/17,19:30,1950.41983170974
18/10/17,19:45,1745.38708505363
18/10/17,20:00,1787.76727420428
18/10/17,20:15,1849.91203926904
18/10/17,20:30,1976.38872823272
18/10/17,20:45,1923.95841683623
18/10/17,21:00,1707.28461330719
18/10/17,21:15,1591.5532211499
18/10/17,21:30,1557.14304060617
18/10/17,21:45,1487.89951179007
18/10/17,22:00,1470.87566440421
18/10/17,22:15,1392.4631978786
18/10/17,22:30,1458.79323517389
18/10/17,22:45,1341.12592800655
18/10/17,23:00,1200.16921868471
18/10/17,23:15,1237.85477982804
18/10/17,23:30,1100.18958293172
18/10/17,23:45,1033.47143388057
