date,time,value
30/11/17,0:00,1401.88839623765
30/11/17,0:15,1481.9527088049
30/11/17,0:30,1429.83891767454
30/11/17,0:45,1434.47317174372
30/11/17,1:00,1305.91333150671
30/11/17,1:15,1222.95696410736
30/11/17,1:30,1113.62335966991
30/11/17,1:45,846.40479227867
30/11/17,2:00,607.856184499219
30/11/17,2:15,617.053624600913
30/11/17,2:30,555.248183154389
30/11/17,2:45,396.762431715769
30/11/17,3:00,632.819302766045
30/11/17,3:15,527.195475940231
30/11/17,3:30,465.537625774065
30/11/17,3:45,563.075351723861
30/11/17,4:00,680.336461094903
30/11/17,4:15,616.157755297892
30/11/17,4:30,511.444846295082
30/11/17,4:45,604.957424075361
30/11/17,5:00,670.367725206862
30/11/17,5:15,707.601854841635
30/11/17,5:30,743.929616965178
30/11/17,5:45,749.884335127962
30/11/17,6:00,742.377479850612
30/11/17,6:15,810.801495888902
30/11/17,6:30,1028.55667789578
30/11/17,6:45,1008.55120565479
30/11/17,7:00,1214.18192307393
30/11/17,7:15,1381.14370094436
30/11/17,7:30,1428.7270806382
30/11/17,7:45,1600.28356389818
30/11/17,8:00,1653.70411450905
30/11/17,8:15,1675.44721924691
30/11/17,8:30,1725.1764987153
30/11/17,8:45,1817.15609414356
30/11/17,9:00,1860.19289078259
30/11/17,9:15,2114.62384545875
30/11/17,9:30,2033.1819437327
30/11/17,9:45,1767.40323182162
30/11/17,10:00,1499.4151580171
30/11/17,10:15,1512.47826159502
30/11/17,10:30,1422.70707790862
30/11/17,10:45,1402.8664107219
30/11/17,11:00,1222.0619015491
30/11/17,11:15,1227.51889625892
30/11/17,11:30,1254.1657245108
30/11/17,11:45,1501.22470106605
30/11/17,12:00,1417.93137830253
30/11/17,12:15,1557.42294454178
30/11/17,12:30,1474.21147837596
30/11/17,12:45,1422.34359567867
30/11/17,13:00,1393.75582945131
30/11/17,13:15,1416.31984059589
30/11/17,13:30,1386.84502151144
30/11/17,13:45,1431.29999802113
30/11/17,14:00,1495.12840757398
30/11/17,14:15,1455.02519590308
30/11/17,14:30,1343.93532904685
30/11/17,14:45,1350.99336218945
30/11/17,15:00,1316.24942162426
30/11/17,15:15,1361.85693039916
30/11/17,15:30,1313.44764213003
30/11/17,15:45,1373.16237095834
30/11/17,16:00,1354.90738770154
30/11/17,16:15,1045.67046241393
30/11/17,16:30,1142.50447627099
30/11/17,16:45,1209.82622909198
30/11/17,17:00,1410.91240366996
30/11/17,17:15,1340.33825327743
30/11/17,17:30,1414.08355988697
30/11/17,17:45,1390.61667693572
30/11/17,18:00,1379.1081746731
30/11/17,18:15,1372.59066010527
30/11/17,18:30,1414.6747620964
30/11/17,18:45,1405.46238803498
30/11/17,19:00,1538.32697739856
30/11/17,19:15,1708.92846325073
30/11/17,19:30,1627.72583896671
30/11/17,19:45,1510.39004843806
30/11/17,20:00,1511.87080325315
30/11/17,20:15,1550.88393400426
30/11/17,20:30,1774.45908642681
30/11/17,20:45,1750.497806148
30/11/17,21:00,1684.54008702942
30/11/17,21:15,1632.88050171974
30/11/17,21:30,1509.74577323625
30/11/17,21:45,1498.25133356278
30/11/17,22:00,1506.60291617827
30/11/17,22:15,1679.51213425237
30/11/17,22:30,1604.79704775003
30/11/17,22:45,1757.07903865322
30/11/17,23:00,1731.58088885231
30/11/17,23:15,1750.32650106675
30/11/17,23:30,1601.48544628842
30/11/17,23:45,1677.03124499067
