date,time,value
23/2/17,0:00,2088.75149472643
23/2/17,0:15,1941.25652373493
23/2/17,0:30,1661.25674024571
23/2/17,0:45,1685.08388019069
23/2/17,1:00,1622.21127432173
23/2/17,1:15,1547.29706492726
23/2/17,1:30,1498.93419247677
23/2/17,1:45,1524.93096384016
23/2/17,2:00,1429.5796001678
23/2/17,2:15,1325.39639987952
23/2/17,2:30,1084.91493972534
23/2/17,2:45,909.187212919541
23/2/17,3:00,1081.16800222223
23/2/17,3:15,1081.9838204148
23/2/17,3:30,869.657735552481
23/2/17,3:45,916.8710721726
23/2/17,4:00,859.5428796325
23/2/17,4:15,730.614182844771
23/2/17,4:30,607.515234396001
23/2/17,4:45,758.097577083969
23/2/17,5:00,702.422984258816
23/2/17,5:15,452.163359035322
23/2/17,5:30,427.565573716077
23/2/17,5:45,469.465418318502
23/2/17,6:00,425.009497518432
23/2/17,6:15,505.43750481328
23/2/17,6:30,599.778211710123
23/2/17,6:45,587.241575824743
23/2/17,7:00,908.3764017649
23/2/17,7:15,968.377523943163
23/2/17,7:30,1326.61270601256
23/2/17,7:45,1413.94229302539
23/2/17,8:00,1541.62496806538
23/2/17,8:15,1656.78410542779
23/2/17,8:30,1710.45510757687
23/2/17,8:45,1621.58972198266
23/2/17,9:00,1762.15414263549
23/2/17,9:15,1799.77526781856
23/2/17,9:30,1641.62560563929
23/2/17,9:45,1633.65966543083
23/2/17,10:00,1512.63917319598
23/2/17,10:15,1616.05257747434
23/2/17,10:30,1747.21010141419
23/2/17,10:45,1844.7906108625
23/2/17,11:00,1934.85292934686
23/2/17,11:15,1860.42403318568
23/2/17,11:30,1754.88942495279
23/2/17,11:45,2152.95326548133
23/2/17,12:00,2239.33225514238
23/2/17,12:15,2538.26782210511
23/2/17,12:30,2704.6128993098
23/2/17,12:45,2740.76166462937
23/2/17,13:00,2773.63966163567
23/2/17,13:15,2681.36048971608
23/2/17,13:30,2577.85651795846
23/2/17,13:45,2728.58828875931
23/2/17,14:00,2875.35947479559
23/2/17,14:15,2970.12233747518
23/2/17,14:30,3067.15115749964
23/2/17,14:45,3105.68116856471
23/2/17,15:00,3133.38579445684
23/2/17,15:15,3134.33264605018
23/2/17,15:30,3197.57269843332
23/2/17,15:45,3216.80442600288
23/2/17,16:00,3124.61634701217
23/2/17,16:15,3060.05246311485
23/2/17,16:30,2915.72521066955
23/2/17,16:45,2831.31289502821
23/2/17,17:00,2802.04363815807
23/2/17,17:15,2794.20042716697
23/2/17,17:30,2880.2168994088
23/2/17,17:45,2831.14797304131
23/2/17,18:00,2699.65120302708
23/2/17,18:15,2733.32383914737
23/2/17,18:30,2803.35942520899
23/2/17,18:45,2834.73784890779
23/2/17,19:00,2848.76906156872
23/2/17,19:15,2919.03040219541
23/2/17,19:30,2870.80213351656
23/2/17,19:45,2787.30257081318
23/2/17,20:00,2793.85695443121
23/2/17,20:15,2723.18684443289
23/2/17,20:30,2630.82094378461
23/2/17,20:45,2641.13197424535
23/2/17,21:00,2644.64040789281
23/2/17,21:15,2599.96796558528
23/2/17,21:30,2583.07787288051
23/2/17,21:45,2599.56803051876
23/2/17,22:00,2656.450431567
23/2/17,22:15,2553.2852442304
23/2/17,22:30,2265.838071877
23/2/17,22:45,2040.49389265336
23/2/17,23:00,1971.1223129758
23/2/17,23:15,1788.17188636053
23/2/17,23:30,1701.92612199908
23/2/17,23:45,1786.42948830539
