date,time,value
8/5/17,0:00,1090.01278413758
8/5/17,0:15,1111.83430866881
8/5/17,0:30,1143.40393511027
8/5/17,0:45,1072.35409235033
8/5/17,1:00,982.137303018408
8/5/17,1:15,971.445287681776
8/5/17,1:30,806.518877807214
8/5/17,1:45,644.149306672244
8/5/17,2:00,707.563663335294
8/5/17,2:15,562.001298152905
8/5/17,2:30,413.496592465152
8/5/17,2:45,504.020729967531
8/5/17,3:00,379.579812977357
8/5/17,3:15,315.316277239622
8/5/17,3:30,555.65667048741
8/5/17,3:45,302.458235653901
8/5/17,4:00,324.025080840032
8/5/17,4:15,445.235073024934
8/5/17,4:30,434.054347798742
8/5/17,4:45,338.538059589685
8/5/17,5:00,308.153984546142
8/5/17,5:15,382.497178825358
8/5/17,5:30,285.365579432658
8/5/17,5:45,272.608044240361
8/5/17,6:00,539.044056957937
8/5/17,6:15,683.84503170287
8/5/17,6:30,610.606858379897
8/5/17,6:45,489.30594525215
8/5/17,7:00,754.457324540339
8/5/17,7:15,1035.61124498914
8/5/17,7:30,1202.85775055539
8/5/17,7:45,1305.40070619223
8/5/17,8:00,1569.28073766439
8/5/17,8:15,1515.57543993749
8/5/17,8:30,1597.47382208424
8/5/17,8:45,1774.11665984557
8/5/17,9:00,1802.23390195403
8/5/17,9:15,1795.41387648943
8/5/17,9:30,1908.17803240746
8/5/17,9:45,1891.58627620167
8/5/17,10:00,1727.67879582882
8/5/17,10:15,1733.37594063673
8/5/17,10:30,1723.60448291744
8/5/17,10:45,1630.74105964608
8/5/17,11:00,1540.04242728079
8/5/17,11:15,1688.30781850568
8/5/17,11:30,1575.59406228821
8/5/17,11:45,1468.33729474984
8/5/17,12:00,1538.17674803351
8/5/17,12:15,1435.63400646209
8/5/17,12:30,1440.2951350568
8/5/17,12:45,1365.48731578018
8/5/17,13:00,1452.68924479859
8/5/17,13:15,1592.95888299732
8/5/17,13:30,1493.90059696706
8/5/17,13:45,1321.99160870324
8/5/17,14:00,1225.35219287634
8/5/17,14:15,1186.34036901461
8/5/17,14:30,1198.58577286257
8/5/17,14:45,1264.50143230776
8/5/17,15:00,1197.8426544778
8/5/17,15:15,1260.61462056519
8/5/17,15:30,1513.90561695485
8/5/17,15:45,1780.77892054464
8/5/17,16:00,1818.79296296541
8/5/17,16:15,1788.40974258807
8/5/17,16:30,1489.57069528501
8/5/17,16:45,1432.56275076048
8/5/17,17:00,1430.7176357349
8/5/17,17:15,1519.02111513584
8/5/17,17:30,1710.52748525606
8/5/17,17:45,1554.18789682729
8/5/17,18:00,1551.94363573189
8/5/17,18:15,1524.10093742723
8/5/17,18:30,1507.3643786616
8/5/17,18:45,1570.88384818865
8/5/17,19:00,1518.6550759961
8/5/17,19:15,1462.19067427162
8/5/17,19:30,1482.52962433989
8/5/17,19:45,1463.56986425008
8/5/17,20:00,1501.95848352008
8/5/17,20:15,1429.49668613066
8/5/17,20:30,1416.36151709024
8/5/17,20:45,1420.43934639441
8/5/17,21:00,1477.06801445273
8/5/17,21:15,1446.73178884438
8/5/17,21:30,1422.36085840544
8/5/17,21:45,1463.50322427273
8/5/17,22:00,1505.01055485302
8/5/17,22:15,1410.89229311946
8/5/17,22:30,1369.81977155375
8/5/17,22:45,1372.25626968508
8/5/17,23:00,1358.80550057023
8/5/17,23:15,1406.93250899538
8/5/17,23:30,1369.95632946667
8/5/17,23:45,1283.46576451831
