date,time,value
11/9/17,0:00,506.17773930285
11/9/17,0:15,431.3762430277
11/9/17,0:30,439.924450214857
11/9/17,0:45,497.216730954213
11/9/17,1:00,494.109073691752
11/9/17,1:15,491.236693360399
11/9/17,1:30,561.783343480224
11/9/17,1:45,484.448262985147
11/9/17,2:00,399.988410918118
11/9/17,2:15,386.801888708271
11/9/17,2:30,466.328020797973
11/9/17,2:45,405.28293870311
11/9/17,3:00,349.035248515824
11/9/17,3:15,318.587195664395
11/9/17,3:30,296.156091196639
11/9/17,3:45,253.65021555617
11/9/17,4:00,327.638433909988
11/9/17,4:15,382.23600822053
11/9/17,4:30,211.632574155845
11/9/17,4:45,189.984598861637
11/9/17,5:00,184.711437878234
11/9/17,5:15,120.800623117349
11/9/17,5:30,149.637249459579
11/9/17,5:45,215.328052517979
11/9/17,6:00,264.06513100599
11/9/17,6:15,268.422613391406
11/9/17,6:30,344.299093679918
11/9/17,6:45,408.426001776316
11/9/17,7:00,434.4150686238
11/9/17,7:15,471.219419188718
11/9/17,7:30,621.851055985335
11/9/17,7:45,763.491940601315
11/9/17,8:00,1138.2722691789
11/9/17,8:15,1410.04866158451
11/9/17,8:30,1665.59230944657
11/9/17,8:45,1938.14544184071
11/9/17,9:00,1882.63154077497
11/9/17,9:15,1719.6859215318
11/9/17,9:30,1769.33784404713
11/9/17,9:45,1751.80002643203
11/9/17,10:00,1784.53257596016
11/9/17,10:15,1538.76841462994
11/9/17,10:30,1667.25688938191
11/9/17,10:45,1777.80246968692
11/9/17,11:00,1738.68955455411
11/9/17,11:15,1624.40088817873
11/9/17,11:30,1634.3549975998
11/9/17,11:45,1513.47430053747
11/9/17,12:00,1462.20860848318
11/9/17,12:15,1465.7703438694
11/9/17,12:30,1473.86876601519
11/9/17,12:45,1527.07515872271
11/9/17,13:00,1405.79581249756
11/9/17,13:15,1544.74326017998
11/9/17,13:30,1435.13410764253
11/9/17,13:45,1462.9122375279
11/9/17,14:00,1418.66573592484
11/9/17,14:15,1425.90504510767
11/9/17,14:30,1373.67941768555
11/9/17,14:45,1370.53965230217
11/9/17,15:00,1350.71475309208
11/9/17,15:15,1346.59085883478
11/9/17,15:30,1215.59889900395
11/9/17,15:45,1223.31264408921
11/9/17,16:00,1210.74721111279
11/9/17,16:15,1135.13324905074
11/9/17,16:30,1378.91023416286
11/9/17,16:45,1381.12711142618
11/9/17,17:00,1433.58198352595
11/9/17,17:15,1593.08955826607
11/9/17,17:30,1758.42143202686
11/9/17,17:45,1838.39100861174
11/9/17,18:00,1756.24783081311
11/9/17,18:15,1728.43793421425
11/9/17,18:30,1623.86663837203
11/9/17,18:45,1530.66398128905
11/9/17,19:00,1705.85752681922
11/9/17,19:15,1831.81543231347
11/9/17,19:30,2023.87561323385
11/9/17,19:45,1983.64363894825
11/9/17,20:00,1844.58221802716
11/9/17,20:15,2021.91593408124
11/9/17,20:30,2066.37787053772
11/9/17,20:45,2000.65509054371
11/9/17,21:00,1987.38513649689
11/9/17,21:15,2199.63028662192
11/9/17,21:30,2077.62789298719
11/9/17,21:45,1865.47160877482
11/9/17,22:00,1710.9163095606
11/9/17,22:15,1711.36987862265
11/9/17,22:30,1585.80448534114
11/9/17,22:45,1446.34319958258
11/9/17,23:00,1343.56403065526
11/9/17,23:15,1268.00020934173
11/9/17,23:30,1276.82773434437
11/9/17,23:45,966.414603635542
