date,time,value
28/8/17,0:00,1189.73406375997
28/8/17,0:15,1085.38189781973
28/8/17,0:30,1061.38480282513
28/8/17,0:45,987.85272455606
28/8/17,1:00,844.301321090784
28/8/17,1:15,683.563574928134
28/8/17,1:30,687.142905767799
28/8/17,1:45,673.802818556857
28/8/17,2:00,694.777192661536
28/8/17,2:15,336.901538730715
28/8/17,2:30,534.081564477237
28/8/17,2:45,629.272952728772
28/8/17,3:00,585.591678880772
28/8/17,3:15,617.627666440059
28/8/17,3:30,816.680638486255
28/8/17,3:45,799.143799126356
28/8/17,4:00,738.325764066192
28/8/17,4:15,717.710583136456
28/8/17,4:30,658.496942435991
28/8/17,4:45,635.136949417234
28/8/17,5:00,681.942134815028
28/8/17,5:15,689.937842022753
28/8/17,5:30,614.410390625873
28/8/17,5:45,732.702795694508
28/8/17,6:00,893.712017000995
28/8/17,6:15,687.854060478042
28/8/17,6:30,775.199752703408
28/8/17,6:45,849.705654454776
28/8/17,7:00,878.606385721367
28/8/17,7:15,941.666709080167
28/8/17,7:30,836.457325925515
28/8/17,7:45,820.980974506766
28/8/17,8:00,1191.90356597978
28/8/17,8:15,1298.74441050219
28/8/17,8:30,1671.00338537784
28/8/17,8:45,1799.5131560761
28/8/17,9:00,1856.68002384692
28/8/17,9:15,1824.40537354847
28/8/17,9:30,1831.84516368606
28/8/17,9:45,1819.70028633636
28/8/17,10:00,1871.84268870896
28/8/17,10:15,1762.16217245401
28/8/17,10:30,1744.35438446097
28/8/17,10:45,1673.29936045354
28/8/17,11:00,1690.34706570593
28/8/17,11:15,1782.67397262257
28/8/17,11:30,1836.59348240652
28/8/17,11:45,1717.7020556766
28/8/17,12:00,1463.53012952518
28/8/17,12:15,1509.08596816877
28/8/17,12:30,1474.40009284727
28/8/17,12:45,1517.6023684063
28/8/17,13:00,1478.41783247921
28/8/17,13:15,1636.88656008656
28/8/17,13:30,1508.79489361448
28/8/17,13:45,1399.54041790412
28/8/17,14:00,1330.1543157754
28/8/17,14:15,1354.88217577951
28/8/17,14:30,1349.73740155894
28/8/17,14:45,1379.96771568464
28/8/17,15:00,1290.00454308885
28/8/17,15:15,1195.92153235628
28/8/17,15:30,1311.24957761968
28/8/17,15:45,1379.99607757486
28/8/17,16:00,1217.94961823696
28/8/17,16:15,1079.76375900165
28/8/17,16:30,1138.26257546726
28/8/17,16:45,1178.60056643328
28/8/17,17:00,1268.72508933877
28/8/17,17:15,1323.99496183612
28/8/17,17:30,1217.69643057029
28/8/17,17:45,1187.06935547343
28/8/17,18:00,1353.1308052426
28/8/17,18:15,1293.09208833773
28/8/17,18:30,1203.27622890454
28/8/17,18:45,1083.82924446118
28/8/17,19:00,1191.47253380155
28/8/17,19:15,1165.2077424725
28/8/17,19:30,1290.13437250751
28/8/17,19:45,1323.10278239062
28/8/17,20:00,1328.65322868387
28/8/17,20:15,1394.9298317478
28/8/17,20:30,1329.46736921536
28/8/17,20:45,1712.88033694604
28/8/17,21:00,1753.46646125231
28/8/17,21:15,1704.26736842402
28/8/17,21:30,1548.29969964184
28/8/17,21:45,1484.76473323712
28/8/17,22:00,1205.72910732566
28/8/17,22:15,1239.50017969398
28/8/17,22:30,1265.63939524267
28/8/17,22:45,1290.7297245259
28/8/17,23:00,1196.49248301231
28/8/17,23:15,1223.24065508057
28/8/17,23:30,1028.0735741809
28/8/17,23:45,1079.2645862187
