date,time,value
18/2/17,0:00,1136.70255884323
18/2/17,0:15,982.198127343801
18/2/17,0:30,953.85273159872
18/2/17,0:45,911.924762429753
18/2/17,1:00,915.107403151568
18/2/17,1:15,902.22409859788
18/2/17,1:30,896.848525618018
18/2/17,1:45,826.71115954402
18/2/17,2:00,842.210984807282
18/2/17,2:15,831.058803076129
18/2/17,2:30,692.745025836177
18/2/17,2:45,615.06804358017
18/2/17,3:00,517.644953021783
18/2/17,3:15,690.565289146065
18/2/17,3:30,746.607084797893
18/2/17,3:45,525.750544075854
18/2/17,4:00,423.681475564025
18/2/17,4:15,470.063721648177
18/2/17,4:30,382.172096689369
18/2/17,4:45,272.550386864043
18/2/17,5:00,345.176137062068
18/2/17,5:15,374.864559932291
18/2/17,5:30,281.077948487156
18/2/17,5:45,341.179326404613
18/2/17,6:00,439.176865176348
18/2/17,6:15,347.780047820544
18/2/17,6:30,317.831033061033
18/2/17,6:45,265.549168707642
18/2/17,7:00,334.81445002782
18/2/17,7:15,421.449725246781
18/2/17,7:30,496.451034427504
18/2/17,7:45,520.652962090031
18/2/17,8:00,910.082397025979
18/2/17,8:15,792.401915311194
18/2/17,8:30,881.763425362997
18/2/17,8:45,1039.75021022239
18/2/17,9:00,1133.80459224894
18/2/17,9:15,1290.32526994611
18/2/17,9:30,1430.38839410514
18/2/17,9:45,1684.58933521277
18/2/17,10:00,1767.18088617002
18/2/17,10:15,1661.3894225183
18/2/17,10:30,1741.00850123947
18/2/17,10:45,1974.06634710207
18/2/17,11:00,2011.41245375557
18/2/17,11:15,2165.10061510243
18/2/17,11:30,2331.01784333069
18/2/17,11:45,2129.80087570825
18/2/17,12:00,2255.59045237417
18/2/17,12:15,2271.69558910206
18/2/17,12:30,2221.16863874805
18/2/17,12:45,2269.40554313374
18/2/17,13:00,2089.94719665103
18/2/17,13:15,2091.82271248734
18/2/17,13:30,2049.23096218171
18/2/17,13:45,1995.22638106274
18/2/17,14:00,1978.9712413196
18/2/17,14:15,1892.69726611494
18/2/17,14:30,2273.99531918779
18/2/17,14:45,2373.67050820791
18/2/17,15:00,2299.79889284582
18/2/17,15:15,2219.35751934097
18/2/17,15:30,2166.23968753695
18/2/17,15:45,2083.59574773541
18/2/17,16:00,1804.39423199239
18/2/17,16:15,1878.50098371066
18/2/17,16:30,1874.79517540368
18/2/17,16:45,1842.77803246945
18/2/17,17:00,1876.55574293164
18/2/17,17:15,1877.79391232553
18/2/17,17:30,1768.11318809414
18/2/17,17:45,1890.23291290849
18/2/17,18:00,1980.29634340769
18/2/17,18:15,2121.34924663279
18/2/17,18:30,2026.25397067429
18/2/17,18:45,1567.64632896528
18/2/17,19:00,1768.06040355099
18/2/17,19:15,1778.41448880931
18/2/17,19:30,1943.91588463281
18/2/17,19:45,1943.60908708537
18/2/17,20:00,1825.76218224728
18/2/17,20:15,1805.75644582873
18/2/17,20:30,1870.92303291144
18/2/17,20:45,1881.39627435167
18/2/17,21:00,1842.96942811527
18/2/17,21:15,1817.86781180972
18/2/17,21:30,1688.73959989361
18/2/17,21:45,1514.72026824905
18/2/17,22:00,1411.39264159829
18/2/17,22:15,1428.83719663877
18/2/17,22:30,1303.67085320406
18/2/17,22:45,1156.32318949767
18/2/17,23:00,1316.41501384681
18/2/17,23:15,1272.29081009881
18/2/17,23:30,1101.48429538401
18/2/17,23:45,1067.87479475769
