date,time,value
1/3/17,0:00,1148.13104688938
1/3/17,0:15,1314.19064360467
1/3/17,0:30,1190.14942955859
1/3/17,0:45,1192.90164071536
1/3/17,1:00,979.089471244306
1/3/17,1:15,926.026902068762
1/3/17,1:30,828.306901784099
1/3/17,1:45,757.239796688182
1/3/17,2:00,671.334231660165
1/3/17,2:15,687.31222758466
1/3/17,2:30,494.707337505902
1/3/17,2:45,484.131983811036
1/3/17,3:00,413.362929660264
1/3/17,3:15,294.026881608578
1/3/17,3:30,276.429066395463
1/3/17,3:45,416.002749888471
1/3/17,4:00,355.388597811948
1/3/17,4:15,341.128582930897
1/3/17,4:30,299.376041258818
1/3/17,4:45,300.644806097102
1/3/17,5:00,327.168345468412
1/3/17,5:15,282.526805256143
1/3/17,5:30,333.817014333709
1/3/17,5:45,220.872456228681
1/3/17,6:00,335.401034773503
1/3/17,6:15,641.449954543422
1/3/17,6:30,579.419726094239
1/3/17,6:45,792.467582579464
1/3/17,7:00,992.79179572134
1/3/17,7:15,1118.53948014036
1/3/17,7:30,1118.33218409573
1/3/17,7:45,1289.4147781677
1/3/17,8:00,1303.3216779032
1/3/17,8:15,1555.2821402972
1/3/17,8:30,1649.95715891681
1/3/17,8:45,1720.35069156168
1/3/17,9:00,1881.83117744557
1/3/17,9:15,2002.15207870676
1/3/17,9:30,1945.85685713922
1/3/17,9:45,1808.77385084798
1/3/17,10:00,1832.50074879472
1/3/17,10:15,1683.14514819059
1/3/17,10:30,1692.38821063656
1/3/17,10:45,1650.67716654338
1/3/17,11:00,1601.72111074284
1/3/17,11:15,1548.90464638693
1/3/17,11:30,1520.17031999453
1/3/17,11:45,1488.25419277022
1/3/17,12:00,1551.73128215413
1/3/17,12:15,1446.5282849712
1/3/17,12:30,1490.46826669182
1/3/17,12:45,1446.26003733378
1/3/17,13:00,1410.68685386016
1/3/17,13:15,1385.89493053967
1/3/17,13:30,1353.09024146156
1/3/17,13:45,1331.24828269176
1/3/17,14:00,1457.015480103
1/3/17,14:15,1274.67679855171
1/3/17,14:30,1233.3656974418
1/3/17,14:45,1239.90715837271
1/3/17,15:00,1220.58667956375
1/3/17,15:15,1211.26055236309
1/3/17,15:30,1264.11708493891
1/3/17,15:45,1381.57435464551
1/3/17,16:00,1395.19519570491
1/3/17,16:15,1265.77085913955
1/3/17,16:30,1214.67650602156
1/3/17,16:45,1195.7848770313
1/3/17,17:00,1132.58444834742
1/3/17,17:15,1144.95180790541
1/3/17,17:30,1295.60653090689
1/3/17,17:45,1366.42624782918
1/3/17,18:00,1223.61654659909
1/3/17,18:15,1239.37605660266
1/3/17,18:30,1297.80586313969
1/3/17,18:45,1217.27170706208
1/3/17,19:00,1518.6153253971
1/3/17,19:15,1478.26625988311
1/3/17,19:30,1520.74242609576
1/3/17,19:45,1625.54246603261
1/3/17,20:00,1782.57899613738
1/3/17,20:15,1745.73124356085
1/3/17,20:30,1779.02400043152
1/3/17,20:45,1791.37924910841
1/3/17,21:00,1750.01365881112
1/3/17,21:15,1765.35310929757
1/3/17,21:30,1678.17766813464
1/3/17,21:45,1583.98657646888
1/3/17,22:00,1576.92262613082
1/3/17,22:15,1585.40987944552
1/3/17,22:30,1595.15645573883
1/3/17,22:45,1496.50664130572
1/3/17,23:00,1351.00324437509
1/3/17,23:15,1110.83956956538
1/3/17,23:30,1101.67521436254
1/3/17,23:45,1227.51661488628
