date,time,value
9/12/17,0:00,1121.77865754646
9/12/17,0:15,1161.41645522448
9/12/17,0:30,1203.22237403625
9/12/17,0:45,1221.26842945062
9/12/17,1:00,1045.70201285869
9/12/17,1:15,1036.09995277961
9/12/17,1:30,860.712433791267
9/12/17,1:45,765.195157554828
9/12/17,2:00,688.289379219193
9/12/17,2:15,665.968304833176
9/12/17,2:30,740.120673370542
9/12/17,2:45,764.673937691854
9/12/17,3:00,614.978566177251
9/12/17,3:15,604.571744109179
9/12/17,3:30,625.365961852587
9/12/17,3:45,844.7405827849
9/12/17,4:00,880.994795563651
9/12/17,4:15,563.857042929017
9/12/17,4:30,440.308812255807
9/12/17,4:45,592.978176427576
9/12/17,5:00,487.465418852141
9/12/17,5:15,321.46062752349
9/12/17,5:30,343.533318389285
9/12/17,5:45,346.277768584899
9/12/17,6:00,357.052592622107
9/12/17,6:15,534.659769917224
9/12/17,6:30,532.650103059881
9/12/17,6:45,491.707077657637
9/12/17,7:00,535.730166916431
9/12/17,7:15,541.472155558089
9/12/17,7:30,656.505669371765
9/12/17,7:45,681.003445570483
9/12/17,8:00,712.323216244251
9/12/17,8:15,998.640561140654
9/12/17,8:30,904.383740711704
9/12/17,8:45,931.678181394745
9/12/17,9:00,1074.63924236145
9/12/17,9:15,1281.24381959631
9/12/17,9:30,1402.27341287389
9/12/17,9:45,1707.24540583375
9/12/17,10:00,1826.32866566945
9/12/17,10:15,1891.89834781429
9/12/17,10:30,1963.7948523322
9/12/17,10:45,2152.68597346601
9/12/17,11:00,2417.47692295123
9/12/17,11:15,2719.19816828864
9/12/17,11:30,2734.56664598321
9/12/17,11:45,2736.58271948726
9/12/17,12:00,2733.0029637693
9/12/17,12:15,2881.75555346709
9/12/17,12:30,2924.26432210857
9/12/17,12:45,2954.7508082926
9/12/17,13:00,2880.82148882563
9/12/17,13:15,2877.79950410771
9/12/17,13:30,2862.00632714746
9/12/17,13:45,2895.99161342304
9/12/17,14:00,2922.54110560941
9/12/17,14:15,2845.32174876698
9/12/17,14:30,2728.92220128297
9/12/17,14:45,2641.57625041581
9/12/17,15:00,2564.67742622862
9/12/17,15:15,2265.76954731001
9/12/17,15:30,2157.08129044981
9/12/17,15:45,1956.78104522322
9/12/17,16:00,1952.47724425972
9/12/17,16:15,1869.17168234812
9/12/17,16:30,1900.51941645999
9/12/17,16:45,1820.1758923866
9/12/17,17:00,1814.48410093939
9/12/17,17:15,1749.4181060677
9/12/17,17:30,1634.02787083981
9/12/17,17:45,1525.24651804294
9/12/17,18:00,1587.16506047118
9/12/17,18:15,1688.42557544072
9/12/17,18:30,1593.22781125956
9/12/17,18:45,1501.58738673614
9/12/17,19:00,1535.49262040582
9/12/17,19:15,1697.80275070587
9/12/17,19:30,1616.1245999829
9/12/17,19:45,1452.11848335424
9/12/17,20:00,1471.71971418376
9/12/17,20:15,1312.65981043016
9/12/17,20:30,1448.26085392337
9/12/17,20:45,1405.64033878611
9/12/17,21:00,1464.11246223291
9/12/17,21:15,1462.2597050637
9/12/17,21:30,1539.18923523193
9/12/17,21:45,1370.93062354965
9/12/17,22:00,1304.95406179312
9/12/17,22:15,1222.6445171876
9/12/17,22:30,1173.1244997036
9/12/17,22:45,1204.18526041825
9/12/17,23:00,1166.29632871752
9/12/17,23:15,1325.47759532402
9/12/17,23:30,1274.8213902717
9/12/17,23:45,1125.46992144597
