date,time,value
10/9/17,0:00,975.02496503727
10/9/17,0:15,1173.67168416734
10/9/17,0:30,1204.72812637112
10/9/17,0:45,1012.3362812472
10/9/17,1:00,848.245756647788
10/9/17,1:15,820.060711961446
10/9/17,1:30,737.543920333769
10/9/17,1:45,708.740637519065
10/9/17,2:00,713.749039987334
10/9/17,2:15,639.312544124653
10/9/17,2:30,484.586340656231
10/9/17,2:45,565.010743948653
10/9/17,3:00,495.099871849505
10/9/17,3:15,441.957346939243
10/9/17,3:30,593.265398329122
10/9/17,3:45,666.441323282473
10/9/17,4:00,531.078359215838
10/9/17,4:15,344.633706897369
10/9/17,4:30,397.496248467797
10/9/17,4:45,541.574854628427
10/9/17,5:00,603.047769360883
10/9/17,5:15,476.999537643727
10/9/17,5:30,440.333837010496
10/9/17,5:45,349.455692512185
10/9/17,6:00,286.33732073916
10/9/17,6:15,412.829222336498
10/9/17,6:30,317.175821772465
10/9/17,6:45,320.064801787343
10/9/17,7:00,244.161913869848
10/9/17,7:15,303.500545373831
10/9/17,7:30,552.291604436308
10/9/17,7:45,461.704004098416
10/9/17,8:00,591.761075704227
10/9/17,8:15,510.066261162035
10/9/17,8:30,653.534257188355
10/9/17,8:45,765.360291089702
10/9/17,9:00,1012.1626427065
10/9/17,9:15,1162.1874718685
10/9/17,9:30,1412.02507165042
10/9/17,9:45,1493.63083066302
10/9/17,10:00,1643.96544409439
10/9/17,10:15,1670.8694643423
10/9/17,10:30,1615.55047755574
10/9/17,10:45,1629.22819635507
10/9/17,11:00,1840.96189838756
10/9/17,11:15,1888.39847288692
10/9/17,11:30,1858.54914489112
10/9/17,11:45,1919.39275597612
10/9/17,12:00,1988.99613215535
10/9/17,12:15,2066.27287749163
10/9/17,12:30,2037.89091721572
10/9/17,12:45,2055.67469378989
10/9/17,13:00,2105.73439046831
10/9/17,13:15,2061.80324580664
10/9/17,13:30,1937.39980785529
10/9/17,13:45,1827.01370221784
10/9/17,14:00,1784.58520340221
10/9/17,14:15,1751.23253356573
10/9/17,14:30,1705.21615968301
10/9/17,14:45,1657.669966378
10/9/17,15:00,1596.226202929
10/9/17,15:15,1637.83567470701
10/9/17,15:30,1644.47103795482
10/9/17,15:45,1476.31199152909
10/9/17,16:00,1387.44090718406
10/9/17,16:15,1215.46295592206
10/9/17,16:30,1297.12092989531
10/9/17,16:45,1407.27068219114
10/9/17,17:00,1407.52753303852
10/9/17,17:15,1320.93444105359
10/9/17,17:30,1261.45702542022
10/9/17,17:45,1433.62346339982
10/9/17,18:00,1504.29891930734
10/9/17,18:15,1535.07282961944
10/9/17,18:30,1464.98418574293
10/9/17,18:45,1354.84571053524
10/9/17,19:00,1605.92916376485
10/9/17,19:15,1663.20657199167
10/9/17,19:30,1681.03187114354
10/9/17,19:45,1736.3911749667
10/9/17,20:00,1707.21556871964
10/9/17,20:15,1758.20418607094
10/9/17,20:30,1734.10950691756
10/9/17,20:45,1488.02411414005
10/9/17,21:00,1723.51036105632
10/9/17,21:15,1899.79079402654
10/9/17,21:30,1894.71501580836
10/9/17,21:45,1788.75125898931
10/9/17,22:00,1612.514837449
10/9/17,22:15,1514.08878932942
10/9/17,22:30,1464.65014279619
10/9/17,22:45,1292.30727398775
10/9/17,23:00,835.016811527693
10/9/17,23:15,728.741332125162
10/9/17,23:30,560.048487622019
10/9/17,23:45,491.599804466594
